STATUS,MNET_ID,ELEVATION,NAME,SHORTNAME,DISTANCE,SGID,NWSFIREZONE,STID,LONGITUDE,COUNTY,CWA,STATE,NWSZONE,LATITUDE,TIMEZONE,GACC,COUNTRY,ID
INACTIVE,65,1427,CW9619 Mineral,APRSWXNET/CWOP,20.74,NW02,SEW657,C9619,-122.15222,Lewis,SEW,WA,WA569,46.71364,America/Los_Angeles,NWCC,US,22841
ACTIVE,116,3400,Bumping Reservoir,YAKIMA,22.02,NW05,OTX680,RBUM,-121.2989,Yakima,PDT,WA,WA520,46.8686,America/Los_Angeles,NWCC,US,22876
ACTIVE,116,5980,Cash Prairie,YAKIMA,30.61,NW05,OTX680,RCSPW,-121.1506,Yakima,PDT,WA,WA520,46.7139,America/Los_Angeles,NWCC,US,22878
INACTIVE,65,781,CW9782 Enumclaw,APRSWXNET/CWOP,26.49,NW01,SEW657,C9782,-121.99113,King,SEW,WA,WA555,47.20446,America/Los_Angeles,NWCC,US,23048
INACTIVE,65,1850,DW0258 Ashford,APRSWXNET/CWOP,12.4,NW02,SEW659,D0258,-121.9644,Lewis,SEW,WA,WA569,46.73769,America/Los_Angeles,NWCC,US,23679
INACTIVE,65,873,DW1787 Enumclaw,APRSWXNET/CWOP,29.53,NW01,SEW657,D1787,-121.92137,King,SEW,WA,WA555,47.26744,America/Los_Angeles,NWCC,US,25009
ACTIVE,65,612,DW2232 Bonney Lake,APRSWXNET/CWOP,29.25,NW01,SEW657,D2232,-122.14833,Pierce,SEW,WA,WA555,47.18633,America/Los_Angeles,NWCC,US,25341
INACTIVE,65,873,DW2276 Buckley,APRSWXNET/CWOP,23.74,NW01,SEW657,D2276,-122.0245,Pierce,SEW,WA,WA555,47.14783,America/Los_Angeles,NWCC,US,25420
INACTIVE,65,725,DW2219 Enumclaw,APRSWXNET/CWOP,25.75,NW01,SEW657,D2219,-122.02283,King,SEW,WA,WA555,47.182,America/Los_Angeles,NWCC,US,25480
INACTIVE,65,574,DW2425 Puyallup,APRSWXNET/CWOP,30.45,NW01,SEW657,D2425,-122.26254,Pierce,SEW,WA,WA509,47.13437,America/Los_Angeles,NWCC,US,25508
ACTIVE,25,5240,CAYUSE PASS,SNOTEL,10.93,NW02,SEW659,CAYW1,-121.5343,Pierce,SEW,WA,WA569,46.86954,America/Los_Angeles,NWCC,US,26220
ACTIVE,25,3900,LYNN LAKE,SNOTEL,24.06,NW02,SEW659,LAKW1,-121.77972,King,SEW,WA,WA568,47.20172,America/Los_Angeles,NWCC,US,26222
ACTIVE,65,4100,BALDI Baldi Mt,APRSWXNET/CWOP,25.54,NW01,SEW659,AT226,-121.8425,King,SEW,WA,WA568,47.21944,America/Los_Angeles,NWCC,US,26290
